"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
13.05 24.6675 26.24 43.21 8.20666666666667 29.08 22.59
13.48 24.5525 25.87 43.2 8.26333333333333 29.14 22.55
13.34 24.4825 25.96 41.69 8.08833333333333 29.05 22.42
13.455 24.8225 26.38 42.66 8.30166666666667 29.17 23.05
13.685 24.8575 26.49 42.63 8.39 28.69 22.89
13.57 24.6975 25.58 41.58 8.13 28.5 22.81
13.55 24.715 25.51 41.88 8.065 28.89 22.82
13.515 24.7275 25.51 42.68 7.98666666666667 28.8 22.36
13.59 24.61 25.82 43.69 7.79166666666667 30.32 21.69
13.525 24.5325 25.64 44.03 7.64666666666667 30.03 21.94
13.425 24.4875 25.83 43.76 7.38166666666667 30.06 21.47
13.315 24.7775 26.11 44.19 7.60833333333333 30.03 21.95
13.285 24.26 25.59 45.36 7.37333333333333 29.9 21.69
13.1 24.025 25.5 44.22 7.455 29.91 20.68
13.06 24.11 25.59 44.13 7.45833333333333 29.46 20.7
12.84 24.02 25.62 43.53 7.62666666666667 29.56 20.68
13.03 23.96 25.38 44.04 7.435 28.51 20.5
12.96 24.0975 25.65 44.04 7.6 29.55 21.5
13.215 24.7275 26.11 45.03 7.985 30.04 21.84
13.06 24.5425 25.63 45.15 7.92333333333333 29.79 21.79
13 24.4225 25.09 44.65 8.22 30.87 21.45
12.79 23.965 24.82 44.57 8.17333333333333 30.99 20.55
12.665 23.585 24.7 45.35 8.01666666666667 31.47 20.87
12.665 23.6525 24.78 43.51 7.745 30.24 19.62
12.83 23.6925 24.44 44.94 7.88833333333333 30.99 20.96
13.255 23.6575 24.31 44.23 8.20166666666667 31.71 22.26
13.245 23.31 24.14 45.42 8.01333333333333 31.47 23.57
13.26 23.9425 24.41 46.12 8.395 31.94 24.05
12.685 23.7825 24.56 46.46 8.55333333333333 32.05 23.83
12.14 23.9825 24.46 46.96 8.69 31.44 23.71
12.26 24.215 24.81 47.15 8.85166666666667 32.73 24.03
12.23 24.1825 24.95 46.83 8.35 33.7 23.86
12.35 23.97 25.25 47.05 8.18333333333333 34.54 24.05
12.695 24.7125 25.53 47.5 8.45333333333333 33.77 24.23
12.68 25.09 26.01 46.99 8.61333333333333 34.3 25.1
12.565 24.97 26.13 47.04 9.03333333333333 34.97 24.89
12.645 25.4 26.11 47.05 9.10166666666667 35.21 24.72
12.73 25.71 26.32 46.88 9.12 35.7 25.39
12.65 25.73 26.67 47.04 9.08166666666667 35.61 25.56
12.865 25.9225 27.08 47.73 8.905 36.57 25.86
12.495 25.9725 27.69 48.56 9.60833333333333 38.01 26.59
12.54 26.005 27.9 49.74 9.81666666666667 39.24 26.89
12.56 25.9325 27.94 50.71 10.0066666666667 40.19 26.64
12.42 25.995 27.95 50.03 9.97833333333333 40.99 26.4
12.36 25.9325 28.37 49.97 9.825 41.19 26.69
12.555 25.9225 28.37 50.82 9.66666666666667 41.32 26.64
12.69 26.045 27.91 49.96 9.58166666666667 41.33 26.26
12.525 26.02 27.8 49.92 9.37166666666667 41.14 25.4
12.445 25.835 27.79 49.51 9.35166666666667 41.06 24.6
12.335 25.6175 27.82 49.9 9.22333333333333 40.29 25.25
12.17 25.6375 27.94 48.47 9.24666666666667 40.15 25.11
12.105 25.565 27.84 47.1 9.055 39.91 25.76
11.955 25.0925 27.59 47.85 9.045 39.48 25.85
11.955 25.31 27.6 47.3 9.10666666666667 39.67 26.64
12.09 25.2475 27.77 46.49 9.115 38.87 26.6
11.915 25.105 27.71 47.29 9.18333333333333 38.85 26.74
11.97 25.2575 27.77 47.43 9.28 38.84 26.02
11.7 25.3075 27.69 46.25 9.20333333333333 38.14 26.36
11.86 25.2475 28.06 47.05 9.39 38.39 27.14
